Date;Close/Last;Volume;Open;High;Low
30.04.2021;4181.17;--;4198.1;4198.1;4174.85
29.04.2021;4211.47;--;4206.14;4218.78;4176.81
28.04.2021;4183.18;--;4185.14;4201.53;4181.78
27.04.2021;4186.72;--;4188.25;4193.35;4176.22
26.04.2021;4187.62;--;4185.03;4194.19;4182.36
23.04.2021;4180.17;--;4138.78;4194.17;4138.78
22.04.2021;4134.98;--;4170.46;4179.57;4123.69
21.04.2021;4173.42;--;4128.42;4175.02;4126.35
20.04.2021;4134.94;--;4159.18;4159.18;4118.38
19.04.2021;4163.26;--;4179.8;4180.81;4150.47
16.04.2021;4185.47;--;4174.14;4191.31;4170.75
15.04.2021;4170.42;--;4139.76;4173.49;4139.76
14.04.2021;4124.66;--;4143.25;4151.69;4120.87
13.04.2021;4141.59;--;4130.1;4148;4124.43
12.04.2021;4127.99;--;4124.71;4131.76;4114.82
09.04.2021;4128.8;--;4096.11;4129.48;4095.51
08.04.2021;4097.17;--;4089.95;4098.19;4082.54
07.04.2021;4079.95;--;4074.29;4083.13;4068.31
06.04.2021;4073.94;--;4075.57;4086.23;4068.14
05.04.2021;4077.91;--;4034.44;4083.42;4034.44
01.04.2021;4019.87;--;3992.78;4020.63;3992.78
31.03.2021;3972.89;--;3967.25;3994.41;3966.98
30.03.2021;3958.55;--;3963.34;3968.01;3944.35
29.03.2021;3971.09;--;3969.31;3981.83;3943.25
26.03.2021;3974.54;--;3917.12;3978.19;3917.12
25.03.2021;3909.52;--;3879.34;3919.54;3853.5
24.03.2021;3889.14;--;3919.93;3942.08;3889.07
23.03.2021;3910.52;--;3937.6;3949.13;3901.57
22.03.2021;3940.59;--;3916.48;3955.31;3914.16
19.03.2021;3913.1;--;3913.14;3930.12;3886.75
18.03.2021;3915.46;--;3953.5;3969.62;3910.86
17.03.2021;3974.12;--;3949.57;3983.87;3935.74
16.03.2021;3962.71;--;3973.59;3981.04;3953.44
15.03.2021;3968.94;--;3942.96;3970.08;3923.54
12.03.2021;3943.34;--;3924.52;3944.99;3915.21
11.03.2021;3939.34;--;3915.54;3960.27;3915.54
10.03.2021;3898.81;--;3891.99;3917.35;3885.73
09.03.2021;3875.44;--;3851.93;3903.76;3851.93
08.03.2021;3821.35;--;3844.39;3881.06;3819.25
05.03.2021;3841.94;--;3793.58;3851.69;3730.19
04.03.2021;3768.47;--;3818.53;3843.67;3723.34
03.03.2021;3819.72;--;3863.99;3874.47;3818.86
02.03.2021;3870.29;--;3903.64;3906.41;3868.57
01.03.2021;3901.82;--;3842.51;3914.5;3842.51
26.02.2021;3811.15;--;3839.66;3861.08;3789.54
25.02.2021;3829.34;--;3915.8;3925.02;3814.04
24.02.2021;3925.43;--;3873.71;3928.65;3859.6
23.02.2021;3881.37;--;3857.07;3895.98;3805.59
22.02.2021;3876.5;--;3885.55;3902.92;3874.71
19.02.2021;3906.71;--;3921.16;3930.41;3903.07
18.02.2021;3913.97;--;3915.86;3921.98;3885.03
17.02.2021;3931.33;--;3918.5;3933.61;3900.43
16.02.2021;3932.59;--;3939.61;3950.43;3923.85
12.02.2021;3934.83;--;3911.65;3937.23;3905.78
11.02.2021;3916.38;--;3916.4;3925.99;3890.39
10.02.2021;3909.88;--;3920.78;3931.5;3884.94
09.02.2021;3911.23;--;3910.49;3918.35;3902.64
08.02.2021;3915.59;--;3892.59;3915.77;3892.59
05.02.2021;3886.83;--;3878.3;3894.56;3874.93
04.02.2021;3871.74;--;3836.66;3872.42;3836.66
03.02.2021;3830.17;--;3840.27;3847.51;3816.68
02.02.2021;3826.31;--;3791.84;3843.09;3791.84
01.02.2021;3773.86;--;3731.17;3784.32;3725.62
29.01.2021;3714.24;--;3778.05;3778.05;3694.12
28.01.2021;3787.38;--;3755.75;3830.5;3755.75
27.01.2021;3750.77;--;3836.83;3836.83;3732.48
26.01.2021;3849.62;--;3862.96;3870.9;3847.78
25.01.2021;3855.36;--;3851.68;3859.23;3797.16
22.01.2021;3841.47;--;3844.24;3852.31;3830.41
21.01.2021;3853.07;--;3857.46;3861.45;3845.05
20.01.2021;3851.85;--;3816.22;3859.75;3816.22
19.01.2021;3798.91;--;3781.88;3804.53;3780.37
15.01.2021;3768.25;--;3788.73;3788.73;3749.62
14.01.2021;3795.54;--;3814.98;3823.6;3792.86
13.01.2021;3809.84;--;3802.23;3820.96;3791.5
12.01.2021;3801.19;--;3801.62;3810.78;3776.51
11.01.2021;3799.61;--;3803.14;3817.86;3789.02
08.01.2021;3824.68;--;3815.05;3826.69;3783.6
07.01.2021;3803.79;--;3764.71;3811.55;3764.71
06.01.2021;3748.14;--;3712.2;3783.04;3705.34
05.01.2021;3726.86;--;3698.02;3737.83;3695.07
04.01.2021;3700.65;--;3764.61;3769.99;3662.71
31.12.2020;3756.07;--;3733.27;3760.2;3726.88
30.12.2020;3732.04;--;3736.19;3744.63;3730.21
29.12.2020;3727.04;--;3750.01;3756.12;3723.31
28.12.2020;3735.36;--;3723.03;3740.51;3723.03
24.12.2020;3703.06;--;3694.03;3703.82;3689.32
23.12.2020;3690.01;--;3693.42;3711.24;3689.28
22.12.2020;3687.26;--;3698.08;3698.26;3676.16
21.12.2020;3694.92;--;3684.28;3702.9;3636.48
18.12.2020;3709.41;--;3722.39;3726.7;3685.84
17.12.2020;3722.48;--;3713.65;3725.12;3710.87
16.12.2020;3701.17;--;3696.25;3711.27;3688.57
15.12.2020;3694.62;--;3666.41;3695.29;3659.62
14.12.2020;3647.49;--;3675.27;3697.61;3645.84
11.12.2020;3663.46;--;3656.08;3665.91;3633.4
10.12.2020;3668.1;--;3659.13;3678.49;3645.18
09.12.2020;3672.82;--;3705.98;3712.39;3660.54
08.12.2020;3702.25;--;3683.05;3708.45;3678.83
07.12.2020;3691.96;--;3694.73;3697.41;3678.88
04.12.2020;3699.12;--;3670.94;3699.2;3670.94
03.12.2020;3666.72;--;3668.28;3682.73;3657.17
02.12.2020;3669.01;--;3653.78;3670.96;3644.84
01.12.2020;3662.45;--;3645.87;3678.45;3645.87
30.11.2020;3621.63;--;3634.18;3634.18;3594.39
27.11.2020;3638.35;--;3638.55;3644.31;3629.33
25.11.2020;3629.65;--;3635.5;3635.5;3617.76
